Date/Hour: 28-01-2014/22:33:24 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 28-01-2014/22:33:34 - Username: biagio.saitta - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 28-01-2014/22:33:55 - Username: primo.utente - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 28-01-2014/22:46:15 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 02-02-2014/16:40:38 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 02-02-2014/16:40:50 - Username: BIAGIO.SAITTA - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 02-02-2014/16:41:04 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 02-02-2014/17:12:05 - Username: biagio.saitta - Request: login - Answer: ok - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
Date/Hour: 11-02-2014/19:32:28 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64; rv:12.0) Gecko/20100101 Firefox/12.0
Date/Hour: 12-02-2014/15:59:34 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:08:05 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
Date/Hour: 12-02-2014/16:15:28 - Username:  - Request: login - Answer: denied - Details: 127.0.0.1 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36
